ShortlistRank,SourceReport,GroupType,GroupValue,SemanticClass,FormalizationPath,SampleCount,RankingMethod,RankingScore,RankingLabel,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,SelectionDecision,SelectionReason
1,report,LifecycleStatus,EXPIRED,DIAGNOSTIC_ONLY,NOT_DIRECT_FORMALIZATION_SOURCE,23,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2881163238741579,TOP,0.1166381563912878,0.27083333333333337,SELECT,STRONG_POSITIVE_EDGE
2,report,Direction,LONG,BASELINE_DIRECT,BASELINE_AUTO,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2830356541966299,TOP,0.08842646764171805,0.27083333333333337,SELECT,STRONG_POSITIVE_EDGE
3,report,SetupType,FAILED_BREAK_RECLAIM_LONG,BASELINE_DIRECT,BASELINE_AUTO,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2830356541966299,TOP,0.08842646764171805,0.27083333333333337,SELECT,STRONG_POSITIVE_EDGE
4,context_report,RelVolume_20,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2825621536233795,TOP,0.07484019461284311,0.14583333333333337,SELECT,STRONG_POSITIVE_EDGE
5,context_report,LiqTotalRatio_20,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2745683450619925,TOP,0.015846148026028177,0.02083333333333337,SELECT,STRONG_POSITIVE_EDGE
6,context_report,CtxRelVolumeSpike_v1,1,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,13,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.20065791094782745,TOP,0.04109736860589907,0.040064102564102644,SELECT,STRONG_POSITIVE_EDGE
7,context_report,RelVolume_20,HIGH,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.15162155251085432,TOP,0.033488314854590175,0.02083333333333337,SELECT,STRONG_POSITIVE_EDGE
8,context_report,AbsorptionScore_v1,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14400236782125275,TOP,-0.03295895148207348,0.02083333333333337,SELECT,STRONG_POSITIVE_EDGE
9,context_report,DeltaAbsRatio_20,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14095849107011868,TOP,-0.05583636329912839,0.02083333333333337,SELECT,STRONG_POSITIVE_EDGE
10,context_report,CtxOISpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,34,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.1252924482615713,TOP,-0.0032464316435268925,0.006127450980392246,SELECT,STRONG_POSITIVE_EDGE
11,context_report,CtxDeltaSpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,34,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.09474268488313918,TOP,-0.013147133864997163,0.035539215686274495,SELECT,STRONG_POSITIVE_EDGE
12,context_report,CtxWickReclaim_v1,1,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.09401084462501084,TOP,0.02397230320898975,0.0890151515151516,SELECT,STRONG_POSITIVE_EDGE
13,context_report,OIChangeAbsRatio_20,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.09084347828159281,TOP,0.04322566469112248,0.08333333333333337,SELECT,STRONG_POSITIVE_EDGE
14,context_report,LiqTotalRatio_20,HIGH,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08931761048024592,TOP,0.03474213251366911,0.08333333333333337,SELECT,STRONG_POSITIVE_EDGE
15,context_report,DeltaAbsRatio_20,HIGH,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0880771750975862,TOP,0.025255321873165586,-0.04166666666666663,REVIEW,POSITIVE_BUT_BORDERLINE
16,context_report,OIChangeAbsRatio_20,HIGH,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08639297999888784,TOP,0.011943046547624014,-0.04166666666666663,REVIEW,POSITIVE_BUT_BORDERLINE
17,context_report,AbsorptionScore_v1,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08554273092633542,TOP,0.004086915147771243,-0.04166666666666663,REVIEW,POSITIVE_BUT_BORDERLINE
18,report,OutcomeStatus,FULL_HORIZON,DIAGNOSTIC_ONLY,NOT_DIRECT_FORMALIZATION_SOURCE,48,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08515467029728543,TOP,0.0,0.0,REVIEW,POSITIVE_BUT_BORDERLINE
19,context_report,CtxWickReclaim_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,37,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0825217536052591,TOP,-0.007126900954023983,-0.026463963963963888,REVIEW,POSITIVE_BUT_BORDERLINE
20,context_report,OIChangeAbsRatio_20,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0782275526113758,TOP,-0.05516871123874649,-0.04166666666666663,REVIEW,POSITIVE_BUT_BORDERLINE
21,context_report,CtxLiqSpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,45,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0720676581477496,TOP,-0.006220557503526708,-0.01805555555555549,REVIEW,POSITIVE_BUT_BORDERLINE
22,context_report,CtxDeltaSpike_v1,1,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,14,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.061869492017354984,TOP,0.031928753672135955,-0.08630952380952372,REVIEW,POSITIVE_BUT_BORDERLINE
23,context_report,CtxRelVolumeSpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,35,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.04225346662708421,TOP,-0.015264736910762501,-0.014880952380952328,REVIEW,POSITIVE_BUT_BORDERLINE
24,context_report,DeltaAbsRatio_20,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.026428344724151565,TOP,0.030581041425962817,0.02083333333333337,REVIEW,POSITIVE_BUT_BORDERLINE
25,report,Direction,SHORT,BASELINE_DIRECT,BASELINE_AUTO,37,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.026325188597480446,TOP,-0.02628894983942968,-0.08051801801801795,REVIEW,POSITIVE_BUT_BORDERLINE
26,report,SetupType,FAILED_BREAK_RECLAIM_SHORT,BASELINE_DIRECT,BASELINE_AUTO,37,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.026325188597480446,TOP,-0.02628894983942968,-0.08051801801801795,REVIEW,POSITIVE_BUT_BORDERLINE
27,context_report,AbsorptionScore_v1,HIGH,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.025918912144268266,TOP,0.028872036334302235,0.02083333333333337,REVIEW,POSITIVE_BUT_BORDERLINE
