StopModel,ExpiryModel,direction,Trades,TP,SL,Expiry,Unresolved,Winrate,NetR,MeanR,MedianR,AvgHoldBars,MaxHoldBars,AvgRiskDistance,MedianRiskDistance,SameBarExitCount,SameBarCollisionCount,SetupSyntheticCount,EntrySyntheticCount,ExitSyntheticCount,PathSyntheticCount
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:1440,LONG,73,33,40,0,0,0.452055,9.5,0.130137,-1.0,5.712329,101.0,51.772603,26.8,34,6,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:1440,SHORT,80,38,41,1,0,0.475,15.534955,0.194187,-1.0,21.725,1440.0,57.7025,37.4,22,15,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:2880,LONG,73,33,40,0,0,0.452055,9.5,0.130137,-1.0,5.712329,101.0,51.772603,26.8,34,6,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:2880,SHORT,80,38,42,0,0,0.475,15.0,0.1875,-1.0,23.6875,1597.0,57.7025,37.4,22,15,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:4320,LONG,73,33,40,0,0,0.452055,9.5,0.130137,-1.0,5.712329,101.0,51.772603,26.8,34,6,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:4320,SHORT,80,38,42,0,0,0.475,15.0,0.1875,-1.0,23.6875,1597.0,57.7025,37.4,22,15,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:5760,LONG,73,33,40,0,0,0.452055,9.5,0.130137,-1.0,5.712329,101.0,51.772603,26.8,34,6,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:5760,SHORT,80,38,42,0,0,0.475,15.0,0.1875,-1.0,23.6875,1597.0,57.7025,37.4,22,15,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:1440,LONG,73,33,40,0,0,0.452055,9.5,0.130137,-1.0,25.205479,149.0,124.767123,97.6,8,1,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:1440,SHORT,80,32,47,1,0,0.4,0.637629,0.00797,-1.0,55.1375,1440.0,149.845,143.65,8,1,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:2880,LONG,73,33,40,0,0,0.452055,9.5,0.130137,-1.0,25.205479,149.0,124.767123,97.6,8,1,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:2880,SHORT,80,32,48,0,0,0.4,0.0,0.0,-1.0,57.1375,1600.0,149.845,143.65,8,1,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:4320,LONG,73,33,40,0,0,0.452055,9.5,0.130137,-1.0,25.205479,149.0,124.767123,97.6,8,1,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:4320,SHORT,80,32,48,0,0,0.4,0.0,0.0,-1.0,57.1375,1600.0,149.845,143.65,8,1,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:5760,LONG,73,33,40,0,0,0.452055,9.5,0.130137,-1.0,25.205479,149.0,124.767123,97.6,8,1,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:5760,SHORT,80,32,48,0,0,0.4,0.0,0.0,-1.0,57.1375,1600.0,149.845,143.65,8,1,0,0,0,0
