variant,cost_per_trade,trade_count,pos_rate_after_cost,mean_return_after_cost,median_return_after_cost,sum_return_after_cost
baseline_current,0.000000,191,48.69,0.00002978,-0.00001265,0.00568843
baseline_current,0.000025,191,47.12,0.00000478,-0.00003765,0.00091343
baseline_current,0.000050,191,44.50,-0.00002022,-0.00006265,-0.00386157
baseline_current,0.000100,191,42.41,-0.00007022,-0.00011265,-0.01341157
baseline_current,0.000150,191,39.27,-0.00012022,-0.00016265,-0.02296157
baseline_current,0.000200,191,36.13,-0.00017022,-0.00021265,-0.03251157
baseline_current,0.000500,191,23.04,-0.00047022,-0.00051265,-0.08981157
entry_delay_1,0.000000,191,61.26,0.00017416,0.00016674,0.03326387
entry_delay_1,0.000025,191,59.69,0.00014916,0.00014174,0.02848887
entry_delay_1,0.000050,191,58.12,0.00012416,0.00011674,0.02371387
entry_delay_1,0.000100,191,55.50,0.00007416,0.00006674,0.01416387
entry_delay_1,0.000150,191,51.31,0.00002416,0.00001674,0.00461387
entry_delay_1,0.000200,191,47.12,-0.00002584,-0.00003326,-0.00493613
entry_delay_1,0.000500,191,28.80,-0.00032584,-0.00033326,-0.06223613
entry_delay_2,0.000000,191,58.64,0.00002879,0.00008501,0.00549847
entry_delay_2,0.000025,191,57.07,0.00000379,0.00006001,0.00072347
entry_delay_2,0.000050,191,54.97,-0.00002121,0.00003501,-0.00405153
entry_delay_2,0.000100,191,48.17,-0.00007121,-0.00001499,-0.01360153
entry_delay_2,0.000150,191,44.50,-0.00012121,-0.00006499,-0.02315153
entry_delay_2,0.000200,191,41.36,-0.00017121,-0.00011499,-0.03270153
entry_delay_2,0.000500,191,26.70,-0.00047121,-0.00041499,-0.09000153
survival_confirm_1,0.000000,122,50.00,0.00013756,0.00002483,0.01678277
survival_confirm_1,0.000025,122,50.00,0.00011256,-0.00000017,0.01373277
survival_confirm_1,0.000050,122,50.00,0.00008756,-0.00002517,0.01068277
survival_confirm_1,0.000100,122,49.18,0.00003756,-0.00007517,0.00458277
survival_confirm_1,0.000150,122,46.72,-0.00001244,-0.00012516,-0.00151723
survival_confirm_1,0.000200,122,45.90,-0.00006244,-0.00017517,-0.00761723
survival_confirm_1,0.000500,122,32.79,-0.00036244,-0.00047517,-0.04421723
favorable_close_confirm_1,0.000000,94,50.00,0.00016087,0.00002799,0.01512202
favorable_close_confirm_1,0.000025,94,50.00,0.00013587,0.00000299,0.01277202
favorable_close_confirm_1,0.000050,94,50.00,0.00011087,-0.00002201,0.01042202
favorable_close_confirm_1,0.000100,94,50.00,0.00006087,-0.00007201,0.00572202
favorable_close_confirm_1,0.000150,94,48.94,0.00001087,-0.00012201,0.00102202
favorable_close_confirm_1,0.000200,94,46.81,-0.00003913,-0.00017201,-0.00367798
favorable_close_confirm_1,0.000500,94,34.04,-0.00033913,-0.00047201,-0.03187798
